Day,Home Player,Away Player,Result,Game Log
1,Harry Jones,Sophia Filster,5-4,80e88c0c-bbaf-4a76-ba72-4c32dbf177b9
1,Owen Jones,George Williams,5-4,bc99c93c-46a0-4598-b68e-eba4d1095315
1,Ethan Taylor,Leo Evans,5-4,15c40839-b6ce-4d22-91df-47ca917e93bf
1,Lukas Ragedanzk,Emily Johnson,5-4,a5fe5db0-af2d-4a69-9111-639c6f564b20
1,Noah Wilson,Gabriel Martin,5-4,67e8dee6-4a62-4d33-8165-fa8274c2badd
2,Harry Jones,George Williams,5-2,31c099e9-f934-4cfc-bf70-7c38dd4a7f72
2,Sophia Filster,Leo Evans,3-5,f3d77303-42e9-4981-a7ed-e0627456c5b1
2,Owen Jones,Emily Johnson,5-2,52f2ad1e-e444-4359-bad5-5ebb4fe2477a
2,Ethan Taylor,Gabriel Martin,5-4,5905f7d2-1c61-4c3a-85a5-8cf35a36f4f2
2,Lukas Ragedanzk,Noah Wilson,5-4,1c2254cb-1555-40a5-9a69-9fc70158b80f
3,Ethan Taylor,Lukas Ragedanzk,1-5,1e6319ef-4f31-42c5-bf9e-b78b8a8485ea
3,Owen Jones,Noah Wilson,4-5,1022a949-bc8c-4cdc-b446-1ad48efbf71e
3,Harry Jones,Leo Evans,5-4,7e89f4a9-99f3-4db3-b316-7435e7b36cdb
3,George Williams,Emily Johnson,4-5,535caefe-7c22-454d-a415-45fc0095b820
3,Sophia Filster,Gabriel Martin,0-5,534b11e6-f3ee-4263-b289-255dd20c2047
4,Harry Jones,Emily Johnson,5-3,a1a5f5e0-c9d4-4b80-9505-bfea7f9cb794
4,Leo Evans,Gabriel Martin,5-2,75d5ee54-2d12-488d-80f0-9071d1f92755
4,George Williams,Noah Wilson,5-3,73cbe61a-e626-463b-b465-5ed8bdefcbb2
4,Sophia Filster,Lukas Ragedanzk,5-0,e4d975d6-e3cc-48a7-a644-d8385c1136a2
4,Owen Jones,Ethan Taylor,5-4,52bcde0e-9876-4298-b521-8d95b5f998d2
5,Sophia Filster,Owen Jones,1-5,c578523f-3076-4fa6-8327-d326ca4d19ca
5,George Williams,Ethan Taylor,5-4,2a7c21fa-7a7d-4126-ab32-df3cea061300
5,Harry Jones,Gabriel Martin,5-3,f3aa6814-e1d4-48a8-a316-603da80f3d92
5,Emily Johnson,Noah Wilson,1-5,9d565ab9-8538-4cbe-8c7c-28f11fe19f65
5,Leo Evans,Lukas Ragedanzk,5-4,444f3ed1-7550-408d-91b4-8374fa221f4d
6,Harry Jones,Noah Wilson,5-2,3e5ea169-6821-42a0-b986-f00468c63da5
6,Gabriel Martin,Lukas Ragedanzk,0-5,4e4ac797-0a4d-4b9a-be36-f4240613da3d
6,Emily Johnson,Ethan Taylor,0-5,1861fea3-752f-4c70-9b03-940551918727
6,Leo Evans,Owen Jones,5-4,1d7965fe-3a5e-43bf-9bfe-1db3d9a1e7fe
6,George Williams,Sophia Filster,1-5,11facadf-acd2-44a9-b717-897ac96981a8
7,Leo Evans,George Williams,5-1,20a6268d-005d-4e38-9595-ff79f51681c8
7,Emily Johnson,Sophia Filster,5-2,5b691ac4-0226-4c2b-84ac-2d57aafb1436
7,Gabriel Martin,Owen Jones,3-5,4fef1a80-637c-4adc-a16a-8ec8c46e0498
7,Harry Jones,Lukas Ragedanzk,5-2,1ce244c1-872a-447d-b19f-f2a742de0e08
7,Noah Wilson,Ethan Taylor,2-5,ac739930-fefc-41ef-b712-c580857db095
8,Harry Jones,Ethan Taylor,5-0,2455064f-7817-41b4-a39f-e48fac8d6f74
8,Lukas Ragedanzk,Owen Jones,1-5,c7055b90-6e1f-46c7-82bb-6b31a908ff55
8,Noah Wilson,Sophia Filster,5-2,b7cc7007-b73f-443a-9dd6-ede3b0636f57
8,Gabriel Martin,George Williams,3-5,ae5ba12c-7f88-492c-b42f-16bf867ba7a0
8,Emily Johnson,Leo Evans,5-4,62fbfe27-4944-4d29-8f78-c9e997673e5c
9,Noah Wilson,Leo Evans,4-5,e0268501-075c-4061-b08d-e17ea0e59c25
