Day,Home Player,Away Player,Result,Game Log
1,Adam Novák,Lukas Ragedanzk,,
1,Hugo Fernández,Harry Jones,,
1,Charlie Wilson,Maximilian Sägemann,,
1,Lukas Kazlauskas,Lucas de Jong,,
1,Sofia Martinez,Gareth Williams,,
2,Adam Novák,Harry Jones,,
2,Lukas Ragedanzk,Maximilian Sägemann,,
2,Hugo Fernández,Lucas de Jong,,
2,Charlie Wilson,Gareth Williams,,
2,Lukas Kazlauskas,Sofia Martinez,,
3,Charlie Wilson,Lukas Kazlauskas,,
3,Hugo Fernández,Sofia Martinez,,
3,Adam Novák,Maximilian Sägemann,,
3,Harry Jones,Lucas de Jong,,
3,Lukas Ragedanzk,Gareth Williams,,
4,Adam Novák,Lucas de Jong,,
4,Maximilian Sägemann,Gareth Williams,,
4,Harry Jones,Sofia Martinez,,
4,Lukas Ragedanzk,Lukas Kazlauskas,,
4,Hugo Fernández,Charlie Wilson,,
5,Lukas Ragedanzk,Hugo Fernández,,
5,Harry Jones,Charlie Wilson,,
5,Adam Novák,Gareth Williams,,
5,Lucas de Jong,Sofia Martinez,,
5,Maximilian Sägemann,Lukas Kazlauskas,,
6,Adam Novák,Sofia Martinez,,
6,Gareth Williams,Lukas Kazlauskas,,
6,Lucas de Jong,Charlie Wilson,,
6,Maximilian Sägemann,Hugo Fernández,,
6,Harry Jones,Lukas Ragedanzk,,
7,Maximilian Sägemann,Harry Jones,,
7,Lucas de Jong,Lukas Ragedanzk,,
7,Gareth Williams,Hugo Fernández,,
7,Adam Novák,Lukas Kazlauskas,,
7,Sofia Martinez,Charlie Wilson,,
8,Adam Novák,Charlie Wilson,,
8,Lukas Kazlauskas,Hugo Fernández,,
8,Sofia Martinez,Lukas Ragedanzk,,
8,Gareth Williams,Harry Jones,,
8,Lucas de Jong,Maximilian Sägemann,,
9,Sofia Martinez,Maximilian Sägemann,,
9,Lukas Kazlauskas,Harry Jones,,
9,Gareth Williams,Lucas de Jong,,
9,Adam Novák,Hugo Fernández,,
9,Charlie Wilson,Lukas Ragedanzk,,
10,Lukas Ragedanzk,Adam Novák,,
10,Harry Jones,Hugo Fernández,,
10,Maximilian Sägemann,Charlie Wilson,,
10,Lucas de Jong,Lukas Kazlauskas,,
10,Gareth Williams,Sofia Martinez,,
11,Lukas Kazlauskas,Charlie Wilson,,
11,Sofia Martinez,Hugo Fernández,,
11,Maximilian Sägemann,Adam Novák,,
11,Lucas de Jong,Harry Jones,,
11,Gareth Williams,Lukas Ragedanzk,,
12,Harry Jones,Lukas Kazlauskas,,
12,Lukas Ragedanzk,Charlie Wilson,,
12,Hugo Fernández,Adam Novák,,
12,Lucas de Jong,Gareth Williams,,
12,Maximilian Sägemann,Sofia Martinez,,
13,Sofia Martinez,Lucas de Jong,,
13,Gareth Williams,Adam Novák,,
13,Hugo Fernández,Lukas Ragedanzk,,
13,Lukas Kazlauskas,Maximilian Sägemann,,
13,Charlie Wilson,Harry Jones,,
14,Hugo Fernández,Maximilian Sägemann,,
14,Charlie Wilson,Lucas de Jong,,
14,Lukas Kazlauskas,Gareth Williams,,
14,Sofia Martinez,Adam Novák,,
14,Lukas Ragedanzk,Harry Jones,,
15,Gareth Williams,Charlie Wilson,,
15,Harry Jones,Adam Novák,,
15,Maximilian Sägemann,Lukas Ragedanzk,,
15,Sofia Martinez,Lukas Kazlauskas,,
15,Lucas de Jong,Hugo Fernández,,
16,Lucas de Jong,Adam Novák,,
16,Charlie Wilson,Hugo Fernández,,
16,Gareth Williams,Maximilian Sägemann,,
16,Sofia Martinez,Harry Jones,,
16,Lukas Kazlauskas,Lukas Ragedanzk,,
17,Hugo Fernández,Gareth Williams,,
17,Lukas Ragedanzk,Lucas de Jong,,
17,Lukas Kazlauskas,Adam Novák,,
17,Charlie Wilson,Sofia Martinez,,
17,Harry Jones,Maximilian Sägemann,,
18,Charlie Wilson,Adam Novák,,
18,Hugo Fernández,Lukas Kazlauskas,,
18,Lukas Ragedanzk,Sofia Martinez,,
18,Harry Jones,Gareth Williams,,
18,Maximilian Sägemann,Lucas de Jong,,
