Day,Home Player,Away Player,Result,Game Log
1,Jakub Nowakicz,Dennis Jones,5-2,0d1e49ef-9047-47d2-acab-a74a729ac7d6
1,Aiden MacDonald,Owen Carter,5-2,dad2e2e6-e5f2-4b29-a395-e5f9159514a4
1,Amelia Brown,Finn van der Kerg,5-2,472d47e5-dab6-4e55-8c41-95f7a8090ad3
1,Lucas Peeters,Gabriel Silva,5-2,28db5d61-dc11-4d72-a8b1-94c1491776f1
1,Conor Murphy,Dylan Thomas,2-5,bc1b54ff-411f-440b-960d-c0d7693df172
2,Jakub Nowakicz,Owen Carter,5-2,95cef3bb-f94b-4c89-9dda-52d6bff8f168
2,Dennis Jones,Finn van der Kerg,1-5,29225754-8e39-4838-9b2e-c58ec00eccbe
2,Aiden MacDonald,Gabriel Silva,5-4,68f688a4-85a8-42b2-9363-5f46dc3bf8cd
2,Amelia Brown,Dylan Thomas,3-5,c22a7d4b-7db7-46e4-9537-ce6bbcb7fe60
2,Lucas Peeters,Conor Murphy,1-5,d6ae7d94-7a02-435a-a1d9-2f75ae821cd2
3,Amelia Brown,Lucas Peeters,1-5,13c3f158-b1c5-4559-bdbb-3950fc236d38
3,Aiden MacDonald,Conor Murphy,0-5,daf05179-c6a9-4dc3-9d34-6490864ffd18
3,Jakub Nowakicz,Finn van der Kerg,5-1,814de4ee-bbe3-404d-8238-5ef90a6571a3
3,Owen Carter,Gabriel Silva,5-1,5c350f05-aa8f-49c6-9789-742b41a29988
3,Dennis Jones,Dylan Thomas,5-2,48bf2a94-abdd-41b8-b83a-533b4c6832a9
4,Jakub Nowakicz,Gabriel Silva,5-1,9d262df5-265b-48f2-8b2a-1138b7ad2f4f
4,Finn van der Kerg,Dylan Thomas,2-5,96b9f48b-34d6-4ff6-b0c8-cbbb99c413a8
4,Owen Carter,Conor Murphy,4-5,41dc917e-e935-4f93-b965-4aec76fb4aff
4,Dennis Jones,Lucas Peeters,1-5,dcde7ccc-4c01-4774-8d44-1ef5078031a6
4,Aiden MacDonald,Amelia Brown,4-5,0547eec8-f61f-447b-a131-35b3cec459ea
5,Dennis Jones,Aiden MacDonald,2-5,e26cf8ff-1f70-4cd0-b44f-377c57e74825
5,Owen Carter,Amelia Brown,5-3,26000971-2717-4b98-94a0-714d58b16afd
5,Jakub Nowakicz,Dylan Thomas,5-2,074f44f6-bb6f-457e-981e-e5e4b3e5683f
5,Gabriel Silva,Conor Murphy,3-5,2d84540c-b2e6-4551-b550-a83a3d737bb1
5,Finn van der Kerg,Lucas Peeters,0-5,3b851a6f-4920-4b70-84a8-6fee4beed70a
6,Jakub Nowakicz,Conor Murphy,3-5,0a7bfdb9-a13f-470c-bbbf-37a79cad8fd7
6,Dylan Thomas,Lucas Peeters,1-5,39a5f80c-7581-4c42-8991-14fbdac4ad07
6,Gabriel Silva,Amelia Brown,1-5,83be81ad-73f8-42e0-b2fa-8f1b414b05f3
6,Finn van der Kerg,Aiden MacDonald,1-5,d40e6620-e824-4479-9f6e-cce0a33395a8
6,Owen Carter,Dennis Jones,5-0,cd24d0a5-0a42-4e90-acd6-8e0aceacccaf
7,Finn van der Kerg,Owen Carter,4-5,582224c6-e62d-494c-be40-7a6632c9bfa3
