Day,Home Player,Away Player,Result,Game Log
1,Sean O'Brien,Liam Stewart,2-5,e2908a82-802a-4bd0-85c6-77604c3e8cea
1,George Williams,Jakub Nowakicz,5-2,6e510994-d97f-4c3b-a86f-041e39ac3865
1,Noah Davies,Matilde Santos,1-5,21e054be-b9c8-4ee2-b3dc-3d3cfc6f6fe2
1,Jonas Meinhard,Aiden MacDonald,2-5,b5b204d4-a1dd-4e57-a2f8-a0e0dcd61e0c
1,Levi van Dijk,Sophia Filster,5-3,4ed2bcd1-b41f-4a8f-8e19-eb19ad751c34
2,Sean O'Brien,Jakub Nowakicz,3-5,7b19a02a-74a3-457a-b8fe-31178dcb9001
2,Liam Stewart,Matilde Santos,2-5,cdc03a8b-3239-42fc-87e5-726d840e38d4
2,George Williams,Aiden MacDonald,5-2,2647fbad-12f7-4aee-85dd-6d57619cf399
2,Noah Davies,Sophia Filster,5-4,5d2617ca-900e-485b-beac-9b16cc88571c
2,Jonas Meinhard,Levi van Dijk,3-5,20ab8ac3-75a4-4ba6-bcaa-b76d2a6e6b66
3,Sean O'Brien,Matilde Santos,5-2,57e9216a-c4f6-4430-af65-8e04b77402e9
3,Jakub Nowakicz,Aiden MacDonald,0-5,427949ed-4a53-4b97-a1a6-35be3d882dff
3,Liam Stewart,Sophia Filster,3-5,cbafd435-0ad3-43b2-90a5-3c2fe1d7c75e
3,George Williams,Levi van Dijk,5-0,992154c7-ca45-48a1-a9e3-72b487ff44cf
3,Noah Davies,Jonas Meinhard,1-5,7a994302-5a48-470d-9709-0be0bd84df82
4,Sean O'Brien,Aiden MacDonald,5-2,2a6518db-f276-48e4-9699-311c123330d0
4,Matilde Santos,Sophia Filster,2-5,d9fdf0ca-72ee-4e72-9772-52c97c0149b4
4,Jakub Nowakicz,Levi van Dijk,1-5,7afa8b92-235f-44c4-be26-7fcbd150478f
4,Liam Stewart,Jonas Meinhard,3-5,fd9b377f-3a84-4d00-b80f-ee76a2422653
4,George Williams,Noah Davies,5-1,7cdb0188-182e-4039-9e56-16d58fb95805
5,Sean O'Brien,Sophia Filster,4-5,a08818e9-8635-423b-9f2f-7387bf0b48f5
5,Aiden MacDonald,Levi van Dijk,2-5,eb3f8678-8738-4d33-a532-89065a3d92c7
5,Matilde Santos,Jonas Meinhard,3-5,8db32233-46fa-4a9b-b08f-4295263c7123
5,Jakub Nowakicz,Noah Davies,3-5,4c63622e-1dc0-491b-b6f6-4bf8bc903990
5,Liam Stewart,George Williams,5-1,880bcfe6-ec10-48e3-bfb5-5c8f8a68ac96
6,Sean O'Brien,Levi van Dijk,3-5,b75a0875-0c40-4d44-94ab-6349ad9016d3
6,Sophia Filster,Jonas Meinhard,5-4,77b52a19-8644-473a-ad94-12ed3866d144
6,Aiden MacDonald,Noah Davies,5-4,a2951fa0-108e-42e7-bf49-cf73df6d0217
6,Matilde Santos,George Williams,4-5,43fb21eb-07cd-4b3f-9a31-33dc8ec8b4ea
6,Jakub Nowakicz,Liam Stewart,0-5,63cfd51c-8047-4803-976e-a9f4387c39c0
7,Sean O'Brien,Jonas Meinhard,2-5,ba6bc382-6aa0-4716-8c58-6ea15dbc10af
7,Levi van Dijk,Noah Davies,2-5,911f7441-9fa9-467b-b67e-52b7736a0536
7,Sophia Filster,George Williams,5-0,991bc57b-9ae7-41bf-ae32-f58a0c874407
7,Aiden MacDonald,Liam Stewart,5-3,c78c3a62-e12c-4af3-a31f-3c79de38dc0d
7,Matilde Santos,Jakub Nowakicz,3-5,e451a970-0e61-4658-9f2e-981293469f44
8,Sean O'Brien,Noah Davies,5-1,ee2d3881-f391-4c9e-8ff5-52ed3e0b32aa
8,Jonas Meinhard,George Williams,3-5,7fac98f5-46b3-4a14-b764-b185d706fc96
8,Levi van Dijk,Liam Stewart,5-2,c8812bdb-bccb-440c-9d31-17ce7b1b400c
8,Sophia Filster,Jakub Nowakicz,5-0,7865c441-901f-40b0-970d-59713f13927b
8,Aiden MacDonald,Matilde Santos,4-5,81c66c6c-0c3a-42d2-96fb-cfc061f202a7
9,Sean O'Brien,George Williams,2-5,33fc6777-7279-4ea2-ac06-54376f902a7c
9,Noah Davies,Liam Stewart,3-5,a6617def-27aa-4697-a3e5-9dd5aff1c46a
9,Jonas Meinhard,Jakub Nowakicz,5-1,e88267de-55ad-450e-bdaf-0563be4d2a79
9,Levi van Dijk,Matilde Santos,5-3,4106f650-5c15-4547-b6a9-880b59b10c9b
9,Sophia Filster,Aiden MacDonald,5-1,e2bd6f4c-83e0-4cd3-a7aa-f3271da18952
10,Liam Stewart,Sean O'Brien,1-5,669f6a4f-20d9-4e32-9081-532563bc4cd1
10,Jakub Nowakicz,George Williams,4-5,15d277e5-fb21-4c74-b206-6d40e33df053
10,Matilde Santos,Noah Davies,5-3,8e577b31-e38e-4d20-b82e-995df4ee5f55
10,Aiden MacDonald,Jonas Meinhard,3-5,3b7b50da-ee26-43f1-a572-1f889057450f
10,Sophia Filster,Levi van Dijk,4-5,21c78748-3645-4d69-bf95-c6268c70e3c3
11,Jakub Nowakicz,Sean O'Brien,5-0,8f22a754-5083-40e5-9cee-6508ba20f98f
11,Matilde Santos,Liam Stewart,2-5,4fa2cd17-6192-419d-b4d1-67afd8c0d52e
11,Aiden MacDonald,George Williams,2-5,e007e8e9-0c37-407e-a4fa-598dba985c5d
11,Sophia Filster,Noah Davies,3-5,e8aa1eb2-5e58-41ef-b3de-be3482f39581
11,Levi van Dijk,Jonas Meinhard,5-1,6c8d9725-7b4b-4de5-be8d-064306c95605
12,Matilde Santos,Sean O'Brien,1-5,cc69c7b8-d6db-4d04-951b-4dba1a12ce63
12,Aiden MacDonald,Jakub Nowakicz,3-5,5a5cf665-85d1-40a2-85fe-104b1995cbe9
12,Sophia Filster,Liam Stewart,5-1,98390dd0-4b71-4e6a-8b88-5b35229d56d2
12,Levi van Dijk,George Williams,5-2,fe5e39cb-21ab-4bd4-a101-ee474b6b1ba7
12,Jonas Meinhard,Noah Davies,5-1,42fc44f0-74e2-452e-af70-cfd6fc4bcc7b
13,Aiden MacDonald,Sean O'Brien,4-5,6adda0de-369f-469d-ac8c-0a6c4afa4fdd
13,Sophia Filster,Matilde Santos,5-4,18f08f66-a30b-4c4a-9580-0504dd0db2f6
13,Levi van Dijk,Jakub Nowakicz,5-4,da383469-ef25-4128-a5a9-f02cf1add6a2
13,Jonas Meinhard,Liam Stewart,5-3,d39c09d9-6404-4591-9fdf-36165cefbf73
13,Noah Davies,George Williams,2-5,5aac41e9-e805-49c0-9fad-af67326c913c
14,Sophia Filster,Sean O'Brien,2-5,cae6ad16-390f-4f00-9574-9b5433743c96
14,Levi van Dijk,Aiden MacDonald,3-5,6b756467-3a4d-4e4c-b47c-6fb240cf6147
14,Jonas Meinhard,Matilde Santos,5-2,dcd5f823-f936-4f9a-b862-422b1bacc7f6
14,Noah Davies,Jakub Nowakicz,3-5,d484ede0-2fac-4300-a851-eb35f3d61225
14,George Williams,Liam Stewart,3-5,392143ff-d406-429c-a20d-2416d2b94901
15,Levi van Dijk,Sean O'Brien,1-5,dc4d0783-0d9a-4d21-b5e8-bd2888b2a889
15,Jonas Meinhard,Sophia Filster,3-5,8387b05b-7849-4bbd-b5bb-dcdd57f6d303
15,Noah Davies,Aiden MacDonald,5-1,98e9d7a3-f83c-4855-895b-b0c039bdd25b
15,George Williams,Matilde Santos,4-5,f8ca0d04-9ce6-45fe-825c-72939dfe45fa
15,Liam Stewart,Jakub Nowakicz,5-3,23783c3b-868e-44b8-9f78-fc6a6767b676
16,Jonas Meinhard,Sean O'Brien,4-5,4f742632-645f-42db-bfc8-98471f17dfc7
16,Noah Davies,Levi van Dijk,5-2,7cc1bd48-104a-4c91-964d-783117b91dc0
16,George Williams,Sophia Filster,4-5,69ab67ab-03f2-4098-b582-971a9014d790
16,Liam Stewart,Aiden MacDonald,5-2,4f4d583e-9e70-42e2-801f-c37c5df1dbdb
16,Jakub Nowakicz,Matilde Santos,5-1,1f4d5ce5-a45c-412b-9df6-a4823d747974
17,Noah Davies,Sean O'Brien,5-3,73a60f9d-a35a-4ff0-b1e3-c553c8fe8365
17,George Williams,Jonas Meinhard,5-3,f3e3cdb2-7e99-45c7-96a2-469ef3061cbf
17,Liam Stewart,Levi van Dijk,5-3,61ce6482-f4ed-4e51-ba19-8fa88430be89
17,Jakub Nowakicz,Sophia Filster,1-5,d917f7c0-c7dc-4d72-9cc5-2218596e8910
